entry_idx,exit_idx,entry_price,exit_price,position,pnl,return_pct,prediction,confidence,correct
12985,13045,540.0,541.23,-5,-6.250000000000091,-0.23148148148148484,-0.9067826935377806,0.7,True
14555,14615,545.42,546.64,5,6.000000000000137,0.2200139342158387,0.9412393171456609,0.7,True
16189,16249,544.05,548.86,5,23.950000000000298,0.880433783659601,1.571645643292565,0.7,False
18051,18111,532.436,528.755,5,-18.5050000000002,-0.6951070175570473,1.4774816877846548,0.7,True
18612,18672,520.46,519.99,-5,2.2500000000001363,0.08646197594436214,-1.4216400211553626,0.7,False
18870,18930,509.74,513.75,5,19.949999999999953,0.7827519912112039,1.6016731899874086,0.7,True
18977,19037,516.725,519.27,5,12.624999999999796,0.48865450674923006,1.130188026232927,0.7,True
34768,34828,563.68,560.83,-5,14.149999999999546,0.5020579051944205,-0.87162084369987,0.7,False
39593,39653,545.91,547.72,5,8.950000000000296,0.3278928761151214,1.2572177411001988,0.7,True
54486,54546,567.09,569.76,5,13.249999999999796,0.46729795975946653,1.1627659263322006,0.7,True
70775,70835,589.52,590.1,-5,-3.0000000000002047,-0.10177771746506326,-1.3138589364664375,0.7,False
93694,93754,584.72,586.4,5,8.29999999999975,0.2838965658776765,1.1593623393764108,0.7,True
